review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,predicted_sentiment
Da Nang,airport,D Huang,2024-02-21,First and only visit to a Nang on a transit back in Oct No complaints overall easy navigation not crowded amenities were up to expectations considering it to be only rd largest airport in Vnam Immigration was surprisingly nice asked me for a CS survey which I was delighted to do Staff was also friendly put me on priority queue to my connecting flight international to domestic Fast and efficient everything was done quickly Would love to fly there again as soon as I get the chance,8.0,Positive,Positive,Positive,Positive,Positive,Neutral
Libyan Airlines,airline,H Thompson,2009-05-12,Manchester to Tripoli Airbus A Plane was a little old and tired looking Only passengers on board and I was the only one in Business Class Seats were OK food was fine The flight took off on time and arrived in Tripoli on time Based on costs and timings this was very good value compared to British Airways,3.0,Positive,Positive,Neutral,POSITIVE,Positive,Neutral
Singapore Changi,airport,8 reviewsM Tennant,2024-11-15,Check in smoothless immigration great lounge perfect When you arrive at the gate here comes the security check All Xray staff do NOT take care of your stuff You fold your jacket you find it in a wreck when you pick it up Put your expensive bag in a tray they take it out and put it directly on the conveyor belt Really this is not acceptable for Singapore I have a stars not for all airport staff but security staff They need to care more,9.0,Positive,Positive,Positive,Positive,Positive,Neutral
Turkmenistan Airlines43 Reviews,airline,C Lee,2024-10-11,The seat was spacious but the recline function was lost on my seat Crew were friendly They offered one meal plus one snack for just hours The onboard announcement was inaccurate that they claimed to be landing soon hours before the actual landing Surprisingly personal onboard entertainment was offered,7.0,Positive,Positive,Positive,Positive,Positive,Neutral
Hong Kong Airlines,airline,David Hamlett,2023-02-27,Thank you to the flight attendants of flight hx today Monday the th I left my phone in my seat on my flight and my phone made it to my next gate very quickly because the staff not only were wonderful but they care enough to not just put my phone in a box I thank you from the bottom of my heart,10.0,Positive,Positive,Neutral,POSITIVE,Positive,Neutral
Mumbai,airport,1 reviewsShreyans Sheth,2024-05-11,Mumbai Airport never fails to impress me from the dedicated drop off options or the overall efficiency It is my favourite major airport to travel from I am more impressed with arrival facilities but even departure is as good as it gets Only fundamental issue is its very overcrowded,9.0,Positive,Positive,Neutral,POSITIVE,Positive,Neutral
Centrair Nagoya,airport,1 reviewsJeremy Chan,2015-07-08,I have never expected that a smallscale airport can be able to provide outstanding and extensive services to travellers The airport was very clean and tidy and everything in the terminal was well organised Incredibly large number of facilities including an observation public bath A wide choice of restaurants was available and the prices were reasonable The sky deck was very large and great for phototaking Airport signs were very clear and staff were always eager to help travellers Convenient access to the city centre The airport gave us a great impression upon our first visit to Nagoya,10.0,Positive,Positive,Positive,Positive,Positive,Neutral
Pakse,airport,Peter J Thackray,2015-07-09,PKZ Airport is a small regional airport that is served mainly by Lao Airlines It has an international connection to Bangkok but mainly to other airports in Laos Small single floor airport with Departures at one end and Arrivals at the other end There is a CafeViewing place upstairs which provides very good views of the runway and apron where you can watch the few planes come and go In the main part of the airport is a Money Change booth and a couple of souvenir shops selling gifts books postcards etc and a Lao Airlines Office and the Airport SecurityInformation The Checkin Counters are in a room off the main Departure Entrance which has some seating just by the Passport ControlSecurity which lead into the Departure Lounge which has a very small but stocked ShopDuty Free No alcohol or cigarettes on sale which has some last minute souvenir opportunities There are also toilets in both Departure and arrivals areas and the main part of the airport Processing times very quick as flights are typically ATR sized less than people at a time The airport is very user friendly and things work well,9.0,Neutral,Positive,Positive,POSITIVE,Positive,Neutral
Lismore,airport,G Bray,2008-03-17,Small quiet regional airport with small turboprop aircraft from a single airline There is no separate security screening staff have always been exceptionally helpfull Late arrivals for departures are handled efficiently The cafe is an offshoot of a nice respected cafe in the city serving exceptional coffee There is little point trying to fly from the bigger airports of Ballina or the Gold Coast The planes might be bigger there but flight times to Sydney are the virtually the same you are less comfortable waiting in those bigger airports Mother nature is the only downside with early morning fog causing some concerns but has never really affected me when I have wanted to travel,4.0,Positive,Positive,Positive,Positive,Positive,Neutral
Air Italy,airline,Bruno Fera,2019-07-08,My flight was to Milan from Toronto and return Checkin was fast the crew were polite and efficient on the ground and in flight For the most part both of my flights were on time just on the way back there was a delay of hours but Expedia had informed me through email days prior of my flight I was pleasantly surprised regarding the meals served on board to and from Italy not only you can choose from a menu but the food was delicious Also I found that choosing the option to pay for checked baggage on Air Italy site was much cheaper than paying at the airport I paid in Canadian dollars instead of euros I usually fly with Air Canada but Air Italy was much cheaper in comparison The only thing that I would appreciate is that when choosing the option to pay for my checked bag online that it would indicate checked baggage included at time of booking The flight was smooth and very pleasant I will definitely fly with Air Italy again in the near future,10.0,Positive,Positive,Neutral,POSITIVE,Positive,Neutral
Beirut,airport,Karim Merhi,2024-05-15,This airport has beautiful views of the tarmac and a nice and comfortable lounge with easy check in and very friendly staff The food is amazing with an amazing variety of restaurants,10.0,Positive,Positive,Positive,Positive,Positive,Neutral
Hamad  Doha,airport,Mohamed Abbas,2025-02-19,I came from Bangkok to Doha and transited for hrs and then to my homeland Cairo I was frustrated to stay that long transit time but once i stayed there I enjoyed it so much The internet coverage and speed is awesome Perfect atmosphere perfect cleaning perfect toilets Unforgettable experience Thanks to each and everyone who participated at this huge well maintained entity,10.0,Positive,Positive,Positive,Positive,Positive,Neutral
